State,early,mid,end,final,position
AT,3,3,3,2,2
CT,1,,,,10
CP,,1,,,9
MV,5,,1,,7
NSWS,5,4,4,,1
NM,2,3,2,,6
QF,2,2,3,,5
SS,2,3,3,,4
WBPM,4,3,2,2,3
WCF,1,1,2,,8
