Name,a,b,c,d,e,f,Position,Logo
Australia,66.26190476,66.07142857,66.98412698,56.19047619,67.26190476,63.92857143,4,img/Australia.png
New Zealand,47.56349206,54.28571428,49.88095238,43.33333333,46.19047619,53.80952381,9,img/NewZealand.png
