State,early,mid,end,final,position
AT,3,3,3,1,3
CT,2,2,1,,8
CP,,,,,10
MV,4,2,3,,4
NSWS,3,3,4,2,2
NM,1,2,2,,7
QF,4,2,1,,5
SS,2,2,3,,6
WBPM,4,4,2,1,1
WCF,1,1,1,,9
