State,early,mid,end,final,position
AT,2,3,,,6
CT,,1,,,10
CP,,3,,,8
MV,2,4,1,,5
NSWS,3,4,2,,3
NM,5,2,4,,4
QF,5,6,3,1,1
SS,2,2,,,7
WBPM,4,4,2,,2
WCF,1,1,1,,9
